"Time (s)","Acceleration (m/s²)"
3.510964083E1,5.653684829E-2
3.515958683E1,1.164026489E-1
3.520954983E1,9.066688388E-2
3.525949883E1,5.249182170E-2
3.530944083E1,3.420918839E-2
3.535938083E1,9.596578693E-2
3.540932383E1,9.490263979E-2
3.545927683E1,6.695725375E-2
3.550921183E1,3.437527193E-2
3.555916483E1,6.368896741E-2
3.560911083E1,7.417180538E-2
3.565905483E1,8.586427056E-2
3.570900183E1,6.763569454E-2
3.575894483E1,5.668435389E-2
3.580888883E1,5.124287836E-2
3.585883683E1,8.285540851E-2
3.590876283E1,9.092786247E-2
3.595872283E1,5.717941389E-2
3.600867083E1,5.207985658E-2
3.605859983E1,6.995315075E-2
3.610855783E1,7.958744901E-2
3.615850383E1,6.939718653E-2
3.620842983E1,6.536166075E-2
3.625839083E1,6.938317651E-2
3.630831083E1,5.396693899E-2
3.635828383E1,4.681400742E-2
3.640822683E1,6.723660163E-2
3.645817383E1,8.430338101E-2
3.650811683E1,8.549476947E-2
3.655806183E1,4.473115771E-2
3.660801083E1,5.526763852E-2
3.665794783E1,7.766194537E-2
3.670789583E1,8.816955726E-2
3.675784383E1,7.096514664E-2
3.680778783E1,5.051420634E-2
3.685772883E1,5.904642482E-2
3.690767583E1,4.701456532E-2
3.695762283E1,7.336892146E-2
3.700753583E1,7.450217307E-2
3.705751183E1,6.951091350E-2
3.710745783E1,4.889270789E-2
3.715739483E1,7.624250545E-2
3.720734983E1,6.753897428E-2
3.725727283E1,6.177137213E-2
3.730723483E1,6.991024772E-2
3.735715983E1,7.232954416E-2
3.740711483E1,5.907181590E-2
3.745705983E1,6.188462812E-2
3.750701383E1,6.032800796E-2
3.755696083E1,8.000462592E-2
3.760689583E1,7.652716892E-2
3.765684883E1,6.474783513E-2
3.770679683E1,5.617933627E-2
3.775671083E1,5.432513759E-2
3.780668883E1,5.050515207E-2
3.785663083E1,5.561673180E-2
3.790657483E1,8.178295058E-2
3.795652183E1,9.801648495E-2
3.800646183E1,7.344001904E-2
3.805640883E1,4.035852397E-2
3.810635783E1,4.561706799E-2
3.815630083E1,9.135471744E-2
3.820624283E1,1.009436358E-1
3.825616883E1,6.427126101E-2
3.830613483E1,1.559767605E-2
3.835607883E1,4.281160224E-2
3.840601583E1,9.887887343E-2
3.845597083E1,1.053508029E-1
3.850591383E1,2.203002782E-2
3.855585083E1,7.567725739E-3
3.860579383E1,6.041448736E-2
3.865574883E1,1.110037448E-1
3.870569683E1,1.018466816E-1
3.875561383E1,4.644407259E-2
3.880558383E1,2.266777610E-2
3.885553283E1,4.843437115E-2
3.890545483E1,7.564949454E-2
3.895541183E1,6.594247427E-2
3.900536283E1,4.436212851E-2
3.905530783E1,3.271539222E-2
3.910525483E1,6.079384923E-2
3.915520083E1,8.654399202E-2
3.920514683E1,5.987740416E-2
3.925508883E1,4.852290074E-2
3.930503783E1,4.927207661E-2
3.935495983E1,6.430139016E-2
3.940492483E1,5.858345005E-2
3.945487183E1,6.047081889E-2
3.950478283E1,5.490343819E-2
3.955476083E1,6.233285375E-2
3.960470783E1,6.198263111E-2
3.965465183E1,6.676658724E-2
3.970458783E1,6.550474897E-2
3.975453883E1,5.289879887E-2
3.980435387E1,5.259216906E-2
3.985429688E1,7.289129896E-2
3.990424588E1,6.625033932E-2
3.995418288E1,5.241848026E-2
4.000413088E1,5.568678236E-2
4.005407687E1,6.296619674E-2
4.010400287E1,5.955593886E-2
4.015395288E1,6.126451629E-2
4.020391588E1,6.575550590E-2
4.025386088E1,6.072502385E-2
